step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
352,CASH_OUT,156131.68,C2085681612,493.0,0.0,C855851095,0.0,156131.68,0,0
403,CASH_OUT,244950.68,C1953718837,3819.0,0.0,C817778646,232055.49,477006.17,0,0
283,PAYMENT,8598.29,C2097622979,141928.72,133330.42,M1140618685,0.0,0.0,0,0
322,CASH_OUT,389438.33,C94719147,0.0,0.0,C1987494745,682741.21,1248554.96,0,0
202,PAYMENT,300.93,C980712201,0.0,0.0,M1898714663,0.0,0.0,0,0
350,PAYMENT,39013.61,C1534644397,20647.0,0.0,M544835219,0.0,0.0,0,0
322,CASH_IN,314688.43,C2129746676,19534.0,334222.43,C206056867,615666.89,300978.46,0,0
187,CASH_OUT,33203.7,C1873771596,0.0,0.0,C288373027,2057309.87,2090513.58,0,0
382,PAYMENT,4588.84,C772233043,571550.0,566961.16,M1684284565,0.0,0.0,0,0
39,PAYMENT,10623.31,C1132319011,21315.0,10691.69,M694961399,0.0,0.0,0,0
203,PAYMENT,15048.7,C1725603856,0.0,0.0,M389160616,0.0,0.0,0,0
331,PAYMENT,15532.85,C1945092015,418.0,0.0,M727233718,0.0,0.0,0,0
321,CASH_IN,59675.59,C160185810,272225.53,331901.12,C289102922,86962.25,27286.66,0,0
522,CASH_IN,160621.08,C502656563,20551.0,181172.08,C1391019168,1097975.63,937354.55,0,0
399,CASH_IN,80680.97,C981715090,1527419.47,1608100.43,C1677253386,91138.88,10457.91,0,0
19,PAYMENT,10680.17,C1177961005,445544.6,434864.43,M1463097731,0.0,0.0,0,0
96,PAYMENT,6922.2,C1533563126,112378.49,105456.29,M1892341197,0.0,0.0,0,0
357,TRANSFER,2767529.97,C424081744,11922.1,0.0,C886631728,3392266.59,6159796.56,0,0
201,PAYMENT,6526.53,C1757577898,158545.82,152019.28,M1768932097,0.0,0.0,0,0
35,CASH_OUT,192593.12,C1848937803,7020.0,0.0,C648151864,0.0,192593.12,0,0
375,TRANSFER,965654.83,C518997935,119.0,0.0,C1872715121,12402.95,978057.78,0,0
234,CASH_OUT,170785.61,C517134256,0.0,0.0,C1646019510,747322.04,918107.64,0,0
188,PAYMENT,5540.15,C1885848427,10770.0,5229.85,M1174927079,0.0,0.0,0,0
